time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(ICLK3)","I(ICLK4)","I(LOUT)"
4.450000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100549e-06
4.475000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100544e-06
4.500000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100548e-06
4.525000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100558e-06
4.550000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100571e-06
4.575000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100582e-06
4.600000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100589e-06
4.625000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100590e-06
4.650000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100585e-06
4.675000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100577e-06
4.700000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100568e-06
4.725000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100561e-06
4.750000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100557e-06
4.775000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100558e-06
4.800000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100562e-06
4.825000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100568e-06
4.850000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100575e-06
4.875000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100579e-06
4.900000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100581e-06
4.925000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100580e-06
4.950000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100577e-06
4.975000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100572e-06
5.000000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100567e-06
5.025000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100564e-06
5.050000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100563e-06
5.075000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100564e-06
